Test,Model,Trial,Score,pValue
Math/Arts & Male/Female,GloVe,1,0.8906,0.042
Science/Arts & Male/Female,GloVe,1,0.55,0.17
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,1,1.5414,0
Young Names/Old Names & Pleasant/Unpleasant,GloVe,1,1.4838,0.00047
Flowers/Insects & Pleasant/Unpleasant,GloVe,2,1.1764,0.005
Instruments/Weapons & Pleasant/Unpleasant,GloVe,2,0.4159,0.19
European Names/African Names & Pleasant/Unpleasant,GloVe,2,1.1969,0.0019
Male/Female & Career/Family,GloVe,2,1.7302,0
Math/Arts & Male/Female,GloVe,2,1.1597,0.0099
Science/Arts & Male/Female,GloVe,2,0.947,0.045
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,2,1.4128,0.0043
Young Names/Old Names & Pleasant/Unpleasant,GloVe,2,1.2779,0.0035
Flowers/Insects & Pleasant/Unpleasant,GloVe,3,0.7276,0.069
Instruments/Weapons & Pleasant/Unpleasant,GloVe,3,1.0526,0.0083
European Names/African Names & Pleasant/Unpleasant,GloVe,3,1.418,0.00011
Male/Female & Career/Family,GloVe,3,1.6776,0
Math/Arts & Male/Female,GloVe,3,0.9239,0.036
Science/Arts & Male/Female,GloVe,3,0.4842,0.21
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,3,1.5187,0.0011
Young Names/Old Names & Pleasant/Unpleasant,GloVe,3,1.2429,0.0047
Flowers/Insects & Pleasant/Unpleasant,GloVe,4,0.6246,0.1
Instruments/Weapons & Pleasant/Unpleasant,GloVe,4,0.8865,0.025
European Names/African Names & Pleasant/Unpleasant,GloVe,4,1.0413,0.01
Male/Female & Career/Family,GloVe,4,1.7366,0
Math/Arts & Male/Female,GloVe,4,0.9259,0.036
Science/Arts & Male/Female,GloVe,4,0.5315,0.18
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,4,1.4802,0.0011
Young Names/Old Names & Pleasant/Unpleasant,GloVe,4,1.3042,0.00085
Flowers/Insects & Pleasant/Unpleasant,GloVe,5,0.6246,0.1
Instruments/Weapons & Pleasant/Unpleasant,GloVe,5,0.8865,0.025
European Names/African Names & Pleasant/Unpleasant,GloVe,5,1.0413,0.01
Male/Female & Career/Family,GloVe,5,1.7366,0
Math/Arts & Male/Female,GloVe,5,0.9259,0.036
Science/Arts & Male/Female,GloVe,5,0.5315,0.18
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,5,1.4802,0.0011
Young Names/Old Names & Pleasant/Unpleasant,GloVe,5,1.3042,0.00085
