,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.1327,0.3864,2.1e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.4009,1.0458,9.4e-03
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2507,0.9105,2.3e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0124,0.0558,4.5e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.0788,0.387,2.1e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.1042,0.291,2.7e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0617,0.1879,3.5e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1022,0.4875,1.5e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0317,-0.0897,5.7e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.1011,0.3011,2.7e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2334,0.8918,2.5e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2631,1.0955,6.6e-03
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.195,0.7011,6.5e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,0.0022,0.0071,4.9e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0428,-0.0725,5.6e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0231,-0.1246,6.0e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,-0.0307,-0.0926,5.8e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1216,0.4478,1.7e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.01,0.0375,4.7e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.0614,-0.2561,7.0e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.3652,1.1507,3.4e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.3099,0.8209,3.6e-02
