,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.0677,0.2033,3.4e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3874,0.9722,1.5e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2286,0.8878,2.5e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0243,0.1012,4.2e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.0337,0.1874,3.5e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.0844,0.2307,3.1e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0344,0.104,4.1e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.1112,0.5217,1.4e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0109,-0.0316,5.3e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.084,0.2459,3.0e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2268,0.7763,4.6e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2644,0.9731,1.6e-02
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2253,0.8018,4.1e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.0498,-0.163,6.3e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0611,-0.1074,5.9e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0128,-0.0715,5.6e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,0.015,0.0443,4.6e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1446,0.5956,1.0e-01
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0593,0.1998,3.4e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.0667,-0.301,7.4e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.3707,1.2712,1.2e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.2929,0.7827,4.3e-02
