,Target words,Attrib. words,Nt,Na,s,d,p
0,Democrat vs. Republican,Unpleasant vs. Pleasant,10x2,10x2,0.1391,0.3929,2.1e-01
1,Democrat vs. Republican,Liberal vs. Conservative,10x2,9x2,0.3777,0.9325,2.0e-02
2,Democrat vs. Republican,Climate Change Activist vs. Climate Change Denier,10x2,10x2,0.2286,0.8271,3.5e-02
3,Democrat vs. Republican,Trickle Up Economics vs. Trickle Down Economics,10x2,8x2,0.0051,0.0224,4.8e-01
4,Democrat vs. Republican,Prochoice vs. Prolife,10x2,5x2,0.0368,0.1916,3.5e-01
5,Democrat vs. Republican,Lazy vs. Hard Working,10x2,8x2,0.1311,0.3476,2.3e-01
6,Democrat vs. Republican,Peace vs. War,10x2,10x2,0.0403,0.1141,4.1e-01
7,Democrat vs. Republican,Pro-Immigration vs. Anti-Immigration,10x2,10x2,0.0955,0.5066,1.4e-01
8,Democrat vs. Republican,Trust vs. Deceptive,10x2,8x2,-0.0688,-0.1975,6.6e-01
9,Democrat vs. Republican,Evil vs. Good,10x2,10x2,0.1153,0.3484,2.4e-01
10,Democrat vs. Republican,Family vs. Career,10x2,8x2,0.2259,0.8031,4.0e-02
11,Democrat vs. Republican,Female names vs. Male names,10x2,10x2,0.2661,1.1204,5.9e-03
12,Democrat vs. Republican,Female terms vs. Male terms,10x2,10x2,0.2429,0.8545,3.0e-02
13,Democrat vs. Republican,STEM vs. Arts,10x2,9x2,-0.1222,-0.367,7.8e-01
14,Democrat vs. Republican,Rich vs. Poor,10x2,8x2,-0.0534,-0.0897,5.7e-01
15,Democrat vs. Republican,Progressive vs. Moderate,10x2,7x2,-0.0588,-0.3144,7.4e-01
16,Democrat vs. Republican,Transparent vs. Secretive,10x2,7x2,-0.0241,-0.0723,5.6e-01
17,Democrat vs. Republican,Atheist vs. Evangelical,10x2,8x2,0.1596,0.6031,9.7e-02
18,Democrat vs. Republican,Fair vs. Unfair,10x2,7x2,0.0133,0.0484,4.6e-01
19,Democrat vs. Republican,Old people’s names vs. Young people’s names,10x2,8x2,-0.077,-0.3333,7.6e-01
20,Democrat vs. Republican,Gun Control vs. Gun Rights,10x2,10x2,0.3839,1.2144,1.9e-03
21,Democrat vs. Republican,Northern States vs. Southern States,10x2,8x2,0.2951,0.8224,3.3e-02
