Test,Model,Trial,Score
SimLex999,fastText,3,0.338364603
RW,fastText,3,0.327282773
RG65,fastText,3,0.488575146
MTurk,fastText,3,0.628032573
Google,fastText,3,0.458299222
MSR,fastText,3,0.64775
SemEval2012_2,fastText,3,0.164404838
8-8-8 OPP,fastText,3,41.6015625
8-8-8 Accuracy ,fastText,3,7.8125
AP,w2v,4,0.529850746
BLESS,w2v,4,0.635
Battig,w2v,4,0.339323265
ESSLI_2c,w2v,4,0.622222222
ESSLI_2b,w2v,4,0.75
ESSLI_1a,w2v,4,0.75
MEN,w2v,4,0.649079504
WS353,w2v,4,0.589219135
WS353R,w2v,4,0.534781313
WS353S,w2v,4,0.673035666
SimLex999,w2v,4,0.362015646
RW,w2v,4,0.383242936
RG65,w2v,4,0.670280079
MTurk,w2v,4,0.615749291
Google,w2v,4,0.634977487
MSR,w2v,4,0.517875
SemEval2012_2,w2v,4,0.162682427
8-8-8 OPP,w2v,4,44.53125
8-8-8 Accuracy ,w2v,4,10.9375
AP,glove,4,0.495024876
BLESS,glove,4,0.565
Battig,glove,4,0.265723571
ESSLI_2c,glove,4,0.6
ESSLI_2b,glove,4,0.775
ESSLI_1a,glove,4,0.704545455
MEN,glove,4,0.557342189
WS353,glove,4,0.419284239
WS353R,glove,4,0.406325528
WS353S,glove,4,0.512744021
SimLex999,glove,4,0.274542938
RW,glove,4,0.297967245
RG65,glove,4,0.3969796
MTurk,glove,4,0.544723428
Google,glove,4,0.515298813
MSR,glove,4,0.434625
SemEval2012_2,glove,4,0.137171923
8-8-8 OPP,glove,4,44.7265625
8-8-8 Accuracy ,glove,4,10.9375
AP,fastText,4,0.539800995
BLESS,fastText,4,0.515
Battig,fastText,4,0.294207608
ESSLI_2c,fastText,4,0.6
ESSLI_2b,fastText,4,0.725
ESSLI_1a,fastText,4,0.659090909
MEN,fastText,4,0.567995559
WS353,fastText,4,0.465614604
WS353R,fastText,4,0.373358392
WS353S,fastText,4,0.565471123
SimLex999,fastText,4,0.33758905
RW,fastText,4,0.325981937
RG65,fastText,4,0.488968542
MTurk,fastText,4,0.629874863
Google,fastText,4,0.457378223
MSR,fastText,4,0.647125
SemEval2012_2,fastText,4,0.16931028
8-8-8 OPP,fastText,4,41.6015625
8-8-8 Accuracy ,fastText,4,7.8125
AP,w2v,5,0.517412935
BLESS,w2v,5,0.625
Battig,w2v,5,0.329764863
ESSLI_2c,w2v,5,0.6
ESSLI_2b,w2v,5,0.75
ESSLI_1a,w2v,5,0.75
MEN,w2v,5,0.652720449
WS353,w2v,5,0.580404602
WS353R,w2v,5,0.519910951
WS353S,w2v,5,0.664800535
SimLex999,w2v,5,0.363239032
RW,w2v,5,0.38174156
RG65,w2v,5,0.63937669
MTurk,w2v,5,0.623370754
Google,w2v,5,0.633442489
MSR,w2v,5,0.522125
SemEval2012_2,w2v,5,0.159698585
8-8-8 OPP,w2v,5,43.9453125
8-8-8 Accuracy ,w2v,5,9.375
AP,glove,5,0.495024876
BLESS,glove,5,0.56
Battig,glove,5,0.269164596
ESSLI_2c,glove,5,0.622222222
ESSLI_2b,glove,5,0.75
ESSLI_1a,glove,5,0.636363636
MEN,glove,5,0.56201649
WS353,glove,5,0.431508984
WS353R,glove,5,0.40099267
WS353S,glove,5,0.548746758
SimLex999,glove,5,0.280169337
RW,glove,5,0.298599042
RG65,glove,5,0.447727598
MTurk,glove,5,0.561056548
Google,glove,5,0.519954973
MSR,glove,5,0.428625
SemEval2012_2,glove,5,0.129703333
8-8-8 OPP,glove,5,44.7265625
8-8-8 Accuracy ,glove,5,10.9375
AP,fastText,5,0.547263682
BLESS,fastText,5,0.565
Battig,fastText,5,0.297839801
ESSLI_2c,fastText,5,0.622222222
ESSLI_2b,fastText,5,0.75
ESSLI_1a,fastText,5,0.704545455
MEN,fastText,5,0.571031149
WS353,fastText,5,0.462561983
WS353R,fastText,5,0.367814439
WS353S,fastText,5,0.561655755
SimLex999,fastText,5,0.338388663
RW,fastText,5,0.325973759
RG65,fastText,5,0.487220118
MTurk,fastText,5,0.626314914
Google,fastText,5,0.454410561
MSR,fastText,5,0.649375
SemEval2012_2,fastText,5,0.170222806
8-8-8 OPP,fastText,5,41.015625
8-8-8 Accuracy ,fastText,5,6.25
