Test,Model,Trial,Score,pValue
Math/Arts & Male/Female,GloVe,1,0.6182,0.12
Science/Arts & Male/Female,GloVe,1,0.3342,0.28
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,1,1.4983,0.0011
Young Names/Old Names & Pleasant/Unpleasant,GloVe,1,1.4662,0.00047
Flowers/Insects & Pleasant/Unpleasant,GloVe,2,0.9765,0.02
Instruments/Weapons & Pleasant/Unpleasant,GloVe,2,0.0664,0.45
European Names/African Names & Pleasant/Unpleasant,GloVe,2,1.3029,0.00059
Male/Female & Career/Family,GloVe,2,1.7674,0
Math/Arts & Male/Female,GloVe,2,0.8994,0.041
Science/Arts & Male/Female,GloVe,2,0.7773,0.086
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,2,1.4146,0.0065
Young Names/Old Names & Pleasant/Unpleasant,GloVe,2,1.2832,0.0033
Flowers/Insects & Pleasant/Unpleasant,GloVe,3,0.4386,0.19
Instruments/Weapons & Pleasant/Unpleasant,GloVe,3,0.7467,0.053
European Names/African Names & Pleasant/Unpleasant,GloVe,3,1.5036,0.00006
Male/Female & Career/Family,GloVe,3,1.6982,0
Math/Arts & Male/Female,GloVe,3,0.8022,0.06
Science/Arts & Male/Female,GloVe,3,0.4747,0.21
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,3,1.4972,0.0032
Young Names/Old Names & Pleasant/Unpleasant,GloVe,3,1.2407,0.0042
Flowers/Insects & Pleasant/Unpleasant,GloVe,4,0.3124,0.27
Instruments/Weapons & Pleasant/Unpleasant,GloVe,4,0.4693,0.16
European Names/African Names & Pleasant/Unpleasant,GloVe,4,1.3551,0.00062
Male/Female & Career/Family,GloVe,4,1.7489,0
Math/Arts & Male/Female,GloVe,4,0.883,0.044
Science/Arts & Male/Female,GloVe,4,0.4534,0.22
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,4,1.411,0.0054
Young Names/Old Names & Pleasant/Unpleasant,GloVe,4,1.2865,0.00093
Flowers/Insects & Pleasant/Unpleasant,GloVe,5,0.9963,0.018
Instruments/Weapons & Pleasant/Unpleasant,GloVe,5,0.6958,0.067
European Names/African Names & Pleasant/Unpleasant,GloVe,5,1.2454,0.0019
Male/Female & Career/Family,GloVe,5,1.7653,0
Math/Arts & Male/Female,GloVe,5,1.1609,0.01
Science/Arts & Male/Female,GloVe,5,1.1872,0.013
Mental Disease/Physical Disease & Temporary/Permenant ,GloVe,5,1.4728,0.0032
Young Names/Old Names & Pleasant/Unpleasant,GloVe,5,1.0437,0.02
